,number,value,datetime_start,datetime_complete,duration,params_basis_window,params_coint_window,params_horizon,params_n_estimators,params_ofi_window,params_threshold,params_vol_window,state
149,149,0.0,2025-11-07 19:37:00.307233,2025-11-07 19:37:03.347144,0 days 00:00:03.039911,139,163,50,791,84,0.047633719783188117,185,COMPLETE
150,150,0.0,2025-11-07 19:37:03.347345,2025-11-07 19:37:04.702168,0 days 00:00:01.354823,108,147,56,131,180,0.03508564022925207,131,COMPLETE
151,151,0.0,2025-11-07 19:37:04.702346,2025-11-07 19:37:06.646091,0 days 00:00:01.943745,127,190,36,418,105,0.03999565108781208,152,COMPLETE
152,152,0.0,2025-11-07 19:37:06.646292,2025-11-07 19:37:08.256951,0 days 00:00:01.610659,200,177,31,236,111,0.04085401995199023,163,COMPLETE
153,153,0.0,2025-11-07 19:37:08.257133,2025-11-07 19:37:10.425989,0 days 00:00:02.168856,133,188,42,475,109,0.03877944634000131,145,COMPLETE
154,154,0.0,2025-11-07 19:37:10.426186,2025-11-07 19:37:13.077915,0 days 00:00:02.651729,144,133,34,666,102,0.040564797963289496,136,COMPLETE
155,155,0.0,2025-11-07 19:37:13.078111,2025-11-07 19:37:15.228387,0 days 00:00:02.150276,123,119,22,446,97,0.04242814685697226,62,COMPLETE
156,156,0.0,2025-11-07 19:37:15.228588,2025-11-07 19:37:17.529881,0 days 00:00:02.301293,67,196,40,555,200,0.04113214043385427,157,COMPLETE
157,157,0.0,2025-11-07 19:37:17.530085,2025-11-07 19:37:19.862655,0 days 00:00:02.332570,161,95,37,531,91,0.03976538023625419,181,COMPLETE
158,158,0.0,2025-11-07 19:37:19.862855,2025-11-07 19:37:21.305584,0 days 00:00:01.442729,63,108,43,190,75,0.04347644541943015,147,COMPLETE
159,159,0.0,2025-11-07 19:37:21.305760,2025-11-07 19:37:22.753125,0 days 00:00:01.447365,146,155,27,159,131,0.048792168792588395,112,COMPLETE
160,160,0.0,2025-11-07 19:37:22.753306,2025-11-07 19:37:24.472363,0 days 00:00:01.719057,190,78,39,304,148,0.037571815165496354,189,COMPLETE
161,161,0.0,2025-11-07 19:37:24.472548,2025-11-07 19:37:27.098050,0 days 00:00:02.625502,113,100,49,648,176,0.04305917611361013,74,COMPLETE
162,162,0.0,2025-11-07 19:37:27.098293,2025-11-07 19:37:30.052299,0 days 00:00:02.954006,98,114,52,684,187,0.03172690502318819,63,COMPLETE
163,163,0.0,2025-11-07 19:37:30.052557,2025-11-07 19:37:32.582373,0 days 00:00:02.529816,106,124,47,614,66,0.04459494540083477,126,COMPLETE
164,164,0.0,2025-11-07 19:37:32.582583,2025-11-07 19:37:35.599498,0 days 00:00:03.016915,135,109,46,739,182,0.043858551534499794,67,COMPLETE
165,165,0.0,2025-11-07 19:37:35.599762,2025-11-07 19:37:38.360253,0 days 00:00:02.760491,117,112,24,456,135,0.032576289623643846,94,COMPLETE
166,166,0.0,2025-11-07 19:37:38.360731,2025-11-07 19:37:40.525586,0 days 00:00:02.164855,92,121,44,351,172,0.04017795471152061,192,COMPLETE
167,167,0.0,2025-11-07 19:37:40.525783,2025-11-07 19:37:43.473423,0 days 00:00:02.947640,90,166,54,713,178,0.048212108109819,60,COMPLETE
168,168,0.0,2025-11-07 19:37:43.473741,2025-11-07 19:37:46.601378,0 days 00:00:03.127637,60,128,30,772,139,0.045132527767426434,196,COMPLETE
